epochMillis,offsetMs,clientId,opType,latencyMs,success,errorDetail
1782062224600,-4997,load054,JOIN_GROUP,11.724,true,
1782062224602,-4995,load057,JOIN_GROUP,11.841,true,
1782062229582,-15,load034,JOIN_GROUP,-1.000,false,timeout
1782062229583,-14,load037,JOIN_GROUP,-1.000,false,timeout
1782062229583,-14,load040,JOIN_GROUP,-1.000,false,timeout
1782062229587,-10,load043,JOIN_GROUP,-1.000,false,timeout
1782062229589,-8,load046,JOIN_GROUP,-1.000,false,timeout
1782062229590,-7,load055,JOIN_GROUP,-1.000,false,timeout
1782062229590,-7,load052,JOIN_GROUP,-1.000,false,timeout
1782062229590,-7,load049,JOIN_GROUP,-1.000,false,timeout
1782062229593,-4,load058,JOIN_GROUP,-1.000,false,timeout
1782062229645,48,load039,GROUP_DELIVERY,5.000,true,
1782062229648,51,load051,GROUP_DELIVERY,8.000,true,
1782062229648,51,load033,CREATE_GROUP,-1.000,false,Usuario 'load034' no conectado.
1782062229649,52,load041,CREATE_GROUP,7.951,true,
1782062229650,53,load047,CREATE_GROUP,4.995,true,
1782062229651,54,load054,GROUP_DELIVERY,11.000,true,
1782062229653,56,load033,GROUP_DELIVERY,13.000,true,
1782062229653,56,load050,GROUP_DELIVERY,3.000,true,
1782062229656,59,load041,GROUP_DELIVERY,6.000,true,
1782062229655,58,load045,GROUP_DELIVERY,15.000,true,
1782062229656,59,load050,GROUP_DELIVERY,4.000,true,
1782062229658,61,load041,GROUP_DELIVERY,6.000,true,
1782062229658,61,load056,CREATE_GROUP,5.053,true,
1782062229659,62,load039,GROUP_DELIVERY,5.000,true,
1782062229659,62,load053,GROUP_DELIVERY,9.000,true,
1782062229659,62,load057,GROUP_DELIVERY,19.000,true,
1782062229659,62,load050,GROUP_DELIVERY,5.000,true,
1782062229660,63,load042,GROUP_DELIVERY,6.000,true,
1782062229660,63,load041,GROUP_DELIVERY,6.000,true,
1782062229660,63,load044,GROUP_DELIVERY,10.000,true,
1782062229662,65,load053,GROUP_DELIVERY,10.000,true,
1782062229662,65,load039,GROUP_DELIVERY,6.000,true,
1782062229662,65,load054,GROUP_DELIVERY,8.000,true,
1782062229662,65,load036,GROUP_DELIVERY,22.000,true,
1782062229663,66,load033,GROUP_DELIVERY,9.000,true,
1782062229664,67,load035,GROUP_DELIVERY,14.000,true,
1782062229664,67,load042,GROUP_DELIVERY,8.000,true,
1782062229664,67,load051,GROUP_DELIVERY,8.000,true,
1782062229664,67,load053,GROUP_DELIVERY,10.000,true,
1782062229665,68,load056,GROUP_DELIVERY,15.000,true,
1782062229666,69,load048,GROUP_DELIVERY,26.000,true,
1782062229666,69,load044,GROUP_DELIVERY,14.000,true,
1782062229666,69,load054,GROUP_DELIVERY,10.000,true,
1782062229667,70,load050,GROUP_DELIVERY,6.000,true,
1782062229667,70,load045,GROUP_DELIVERY,13.000,true,
1782062229667,70,load057,GROUP_DELIVERY,13.000,true,
1782062229667,70,load035,GROUP_DELIVERY,13.000,true,
1782062229668,71,load056,GROUP_DELIVERY,14.000,true,
1782062229669,72,load047,GROUP_DELIVERY,19.000,true,
1782062229670,73,load053,GROUP_DELIVERY,9.000,true,
1782062229670,73,load036,GROUP_DELIVERY,16.000,true,
1782062229670,73,load050,GROUP_DELIVERY,9.000,true,
1782062229670,73,load033,GROUP_DELIVERY,14.000,true,
1782062229671,74,load056,GROUP_DELIVERY,19.000,true,
1782062229671,74,load044,GROUP_DELIVERY,10.000,true,
1782062229671,74,load041,GROUP_DELIVERY,10.000,true,
1782062229671,74,load059,GROUP_DELIVERY,21.000,true,
1782062229673,76,load047,GROUP_DELIVERY,21.000,true,
1782062229673,76,load045,GROUP_DELIVERY,17.000,true,
1782062229673,76,load044,GROUP_DELIVERY,12.000,true,
1782062229674,77,load048,GROUP_DELIVERY,19.000,true,
1782062229674,77,load056,GROUP_DELIVERY,13.000,true,
1782062229674,77,load059,GROUP_DELIVERY,22.000,true,
1782062229675,78,load035,GROUP_DELIVERY,14.000,true,
1782062229676,79,load047,GROUP_DELIVERY,22.000,true,
1782062229676,79,load036,GROUP_DELIVERY,20.000,true,
1782062229676,79,load056,GROUP_DELIVERY,15.000,true,
1782062229676,79,load059,GROUP_DELIVERY,22.000,true,
1782062229677,80,load035,GROUP_DELIVERY,16.000,true,
1782062229678,81,load047,GROUP_DELIVERY,17.000,true,
1782062229678,81,load048,GROUP_DELIVERY,22.000,true,
1782062229678,81,load038,GROUP_DELIVERY,26.000,true,
1782062229678,81,load041,GROUP_DELIVERY,4.000,true,
1782062229680,83,load053,GROUP_DELIVERY,6.000,true,
1782062229680,83,load038,GROUP_DELIVERY,26.000,true,
1782062229680,83,load039,GROUP_DELIVERY,3.000,true,
1782062229682,85,load042,GROUP_DELIVERY,5.000,true,
1782062229683,86,load039,GROUP_DELIVERY,13.000,true,
1782062229683,86,load047,GROUP_DELIVERY,22.000,true,
1782062229684,87,load054,GROUP_DELIVERY,7.000,true,
1782062229684,87,load044,GROUP_DELIVERY,10.000,true,
1782062229684,87,load056,CREATE_GROUP,5.915,true,
1782062229684,87,load051,GROUP_DELIVERY,14.000,true,
1782062229684,87,load038,GROUP_DELIVERY,23.000,true,
1782062229685,88,load033,GROUP_DELIVERY,8.000,true,
1782062229685,88,load042,GROUP_DELIVERY,15.000,true,
1782062229685,88,load056,GROUP_DELIVERY,11.000,true,
1782062229686,89,load050,GROUP_DELIVERY,5.000,true,
1782062229687,90,load038,GROUP_DELIVERY,26.000,true,
1782062229687,90,load041,GROUP_DELIVERY,6.000,true,
1782062229688,91,load051,GROUP_DELIVERY,4.000,true,
1782062229689,92,load059,GROUP_DELIVERY,28.000,true,
1782062229689,92,load047,GROUP_DELIVERY,15.000,true,
1782062229689,92,load035,GROUP_DELIVERY,15.000,true,
1782062229690,93,load054,GROUP_DELIVERY,20.000,true,
1782062229690,93,load053,GROUP_DELIVERY,9.000,true,
1782062229691,94,load056,GROUP_DELIVERY,10.000,true,
1782062229691,94,load045,GROUP_DELIVERY,14.000,true,
1782062229691,94,load033,GROUP_DELIVERY,21.000,true,
1782062229691,94,load050,GROUP_DELIVERY,5.000,true,
1782062229692,95,load038,GROUP_DELIVERY,18.000,true,
1782062229692,95,load042,GROUP_DELIVERY,8.000,true,
1782062229693,96,load059,GROUP_DELIVERY,32.000,true,
1782062229693,96,load057,GROUP_DELIVERY,16.000,true,
1782062229693,96,load041,GROUP_DELIVERY,7.000,true,
1782062229693,96,load035,GROUP_DELIVERY,12.000,true,
1782062229694,97,load050,GROUP_DELIVERY,7.000,true,
1782062229694,97,load053,GROUP_DELIVERY,8.000,true,
1782062229694,97,load036,GROUP_DELIVERY,17.000,true,
1782062229695,98,load045,GROUP_DELIVERY,25.000,true,
1782062229696,99,load041,GROUP_DELIVERY,6.000,true,
1782062229697,100,load047,GROUP_DELIVERY,16.000,true,
1782062229697,100,load036,GROUP_DELIVERY,27.000,true,
1782062229697,100,load038,GROUP_DELIVERY,16.000,true,
1782062229697,100,load053,GROUP_DELIVERY,7.000,true,
1782062229697,100,load050,GROUP_DELIVERY,7.000,true,
1782062229697,100,load054,GROUP_DELIVERY,13.000,true,
1782062229698,101,load041,GROUP_DELIVERY,11.000,true,
1782062229699,102,load044,GROUP_DELIVERY,9.000,true,
1782062229700,103,load048,GROUP_DELIVERY,23.000,true,
1782062229700,103,load033,GROUP_DELIVERY,16.000,true,
1782062229700,103,load044,GROUP_DELIVERY,13.000,true,
1782062229701,104,load059,GROUP_DELIVERY,27.000,true,
1782062229701,104,load035,GROUP_DELIVERY,11.000,true,
1782062229703,106,load048,GROUP_DELIVERY,33.000,true,
1782062229704,107,load044,GROUP_DELIVERY,18.000,true,
1782062229704,107,load041,GROUP_DELIVERY,24.000,true,
1782062229705,108,load039,GROUP_DELIVERY,3.000,true,
1782062229705,108,load053,GROUP_DELIVERY,25.000,true,
1782062229706,109,load057,GROUP_DELIVERY,22.000,true,
1782062229707,110,load059,GROUP_DELIVERY,26.000,true,
1782062229707,110,load036,GROUP_DELIVERY,23.000,true,
1782062229707,110,load042,GROUP_DELIVERY,5.000,true,
1782062229707,110,load056,GROUP_DELIVERY,20.000,true,
1782062229708,111,load054,GROUP_DELIVERY,6.000,true,
1782062229709,112,load050,GROUP_DELIVERY,3.000,true,
1782062229710,113,load048,GROUP_DELIVERY,26.000,true,
1782062229710,113,load033,GROUP_DELIVERY,8.000,true,
1782062229711,114,load041,GROUP_DELIVERY,5.000,true,
1782062229711,114,load050,GROUP_DELIVERY,5.000,true,
1782062229711,114,load047,GROUP_DELIVERY,21.000,true,
1782062229711,114,load053,GROUP_DELIVERY,5.000,true,
1782062229711,114,load044,GROUP_DELIVERY,31.000,true,
1782062229711,114,load056,GROUP_DELIVERY,25.000,true,
1782062229713,116,load053,CREATE_GROUP,-1.000,false,Usuario 'load054' no conectado.
1782062229713,116,load053,GROUP_DELIVERY,7.000,true,
1782062229713,116,load057,GROUP_DELIVERY,11.000,true,
1782062229714,117,load036,GROUP_DELIVERY,12.000,true,
1782062229714,117,load056,GROUP_DELIVERY,8.000,true,
1782062229714,117,load035,GROUP_DELIVERY,27.000,true,
1782062229715,118,load038,GROUP_DELIVERY,25.000,true,
1782062229716,119,load050,CREATE_GROUP,-1.000,false,Usuario 'load051' no conectado.
1782062229716,119,load056,GROUP_DELIVERY,36.000,true,
1782062229717,120,load050,GROUP_DELIVERY,3.000,true,
1782062229718,121,load035,GROUP_DELIVERY,12.000,true,
1782062229718,121,load048,GROUP_DELIVERY,16.000,true,
1782062229719,122,load041,GROUP_DELIVERY,13.000,true,
1782062229720,123,load048,CREATE_GROUP,-1.000,false,Usuario 'load049' no conectado.
1782062229720,123,load038,GROUP_DELIVERY,33.000,true,
1782062229720,123,load041,GROUP_DELIVERY,6.000,true,
1782062229721,124,load053,GROUP_DELIVERY,7.000,true,
1782062229721,124,load044,GROUP_DELIVERY,15.000,true,
1782062229721,124,load035,GROUP_DELIVERY,41.000,true,
1782062229723,126,load035,GROUP_DELIVERY,37.000,true,
1782062229723,126,load047,CREATE_GROUP,-1.000,false,Usuario 'load048' no conectado.
1782062229723,126,load045,GROUP_DELIVERY,39.000,true,
1782062229724,127,load044,GROUP_DELIVERY,10.000,true,
1782062229725,128,load056,GROUP_DELIVERY,11.000,true,
1782062229725,128,load045,GROUP_DELIVERY,23.000,true,
1782062229725,128,load059,GROUP_DELIVERY,35.000,true,
1782062229726,129,load047,GROUP_DELIVERY,39.000,true,
1782062229726,129,load038,GROUP_DELIVERY,40.000,true,
1782062229727,130,load035,GROUP_DELIVERY,13.000,true,
1782062229727,130,load047,GROUP_DELIVERY,21.000,true,
1782062229727,130,load038,GROUP_DELIVERY,21.000,true,
1782062229727,130,load056,GROUP_DELIVERY,21.000,true,
1782062229727,130,load059,GROUP_DELIVERY,40.000,true,
1782062229728,131,load047,GROUP_DELIVERY,42.000,true,
1782062229729,132,load047,GROUP_DELIVERY,49.000,true,
1782062229730,133,load047,GROUP_DELIVERY,16.000,true,
1782062229731,134,load038,GROUP_DELIVERY,51.000,true,
1782062229732,135,load059,GROUP_DELIVERY,26.000,true,
1782062229733,136,load035,GROUP_DELIVERY,26.000,true,
1782062229733,136,load059,GROUP_DELIVERY,53.000,true,
1782062229733,136,load050,GROUP_DELIVERY,3.000,true,
1782062229733,136,load059,GROUP_DELIVERY,19.000,true,
1782062229735,138,load059,GROUP_DELIVERY,29.000,true,
1782062229735,138,load041,GROUP_DELIVERY,5.000,true,
1782062229736,139,load039,GROUP_DELIVERY,41.000,true,
1782062229736,139,load050,CREATE_GROUP,0.478,true,
1782062229736,139,load053,GROUP_DELIVERY,6.000,true,
1782062229737,140,load051,GROUP_DELIVERY,42.000,true,
1782062229738,141,load056,GROUP_DELIVERY,8.000,true,
1782062229738,141,load042,GROUP_DELIVERY,43.000,true,
1782062229740,143,load035,GROUP_DELIVERY,10.000,true,
1782062229740,143,load038,GROUP_DELIVERY,34.000,true,
1782062229741,144,load051,GROUP_DELIVERY,4.000,true,
1782062229742,145,load054,GROUP_DELIVERY,47.000,true,
1782062229742,145,load047,GROUP_DELIVERY,12.000,true,
1782062229743,146,load054,GROUP_DELIVERY,6.000,true,
1782062229743,146,load045,GROUP_DELIVERY,48.000,true,
1782062229744,147,load059,GROUP_DELIVERY,14.000,true,
1782062229744,147,load039,GROUP_DELIVERY,6.000,true,
1782062229745,148,load054,GROUP_DELIVERY,7.000,true,
1782062229745,148,load045,GROUP_DELIVERY,8.000,true,
1782062229746,149,load036,GROUP_DELIVERY,51.000,true,
1782062229746,149,load050,GROUP_DELIVERY,51.000,true,
1782062229746,149,load033,GROUP_DELIVERY,51.000,true,
1782062229746,149,load042,GROUP_DELIVERY,9.000,true,
1782062229747,150,load041,GROUP_DELIVERY,52.000,true,
1782062229747,150,load057,GROUP_DELIVERY,10.000,true,
1782062229747,150,load045,GROUP_DELIVERY,9.000,true,
1782062229747,150,load056,CREATE_GROUP,-1.000,false,Usuario 'load057' no conectado.
1782062229747,150,load033,GROUP_DELIVERY,10.000,true,
1782062229747,150,load038,GROUP_DELIVERY,17.000,true,
1782062229747,150,load042,GROUP_DELIVERY,9.000,true,
1782062229748,151,load033,GROUP_DELIVERY,10.000,true,
1782062229748,151,load048,GROUP_DELIVERY,53.000,true,
1782062229750,153,load036,GROUP_DELIVERY,13.000,true,
1782062229751,154,load057,GROUP_DELIVERY,13.000,true,
1782062229751,154,load036,GROUP_DELIVERY,13.000,true,
1782062229752,155,load048,GROUP_DELIVERY,15.000,true,
1782062229752,155,load053,GROUP_DELIVERY,57.000,true,
1782062229753,156,load041,GROUP_DELIVERY,2.000,true,
1782062229754,157,load044,GROUP_DELIVERY,59.000,true,
1782062229755,158,load048,GROUP_DELIVERY,17.000,true,
1782062229756,159,load053,GROUP_DELIVERY,5.000,true,
1782062229756,159,load056,GROUP_DELIVERY,61.000,true,
1782062229756,159,load050,GROUP_DELIVERY,23.000,true,
1782062229757,160,load044,GROUP_DELIVERY,6.000,true,
1782062229757,160,load056,GROUP_DELIVERY,6.000,true,
1782062229757,160,load039,GROUP_DELIVERY,2.000,true,
1782062229758,161,load042,GROUP_DELIVERY,3.000,true,
1782062229759,162,load041,GROUP_DELIVERY,26.000,true,
1782062229759,162,load035,GROUP_DELIVERY,8.000,true,
1782062229760,163,load054,GROUP_DELIVERY,5.000,true,
1782062229760,163,load038,GROUP_DELIVERY,65.000,true,
1782062229761,164,load053,GROUP_DELIVERY,28.000,true,
1782062229762,165,load047,GROUP_DELIVERY,67.000,true,
1782062229763,166,load044,GROUP_DELIVERY,30.000,true,
1782062229764,167,load033,GROUP_DELIVERY,9.000,true,
1782062229764,167,load045,GROUP_DELIVERY,9.000,true,
1782062229765,168,load056,GROUP_DELIVERY,32.000,true,
1782062229765,168,load044,CREATE_GROUP,-1.000,false,Usuario 'load045' no conectado.
1782062229765,168,load057,GROUP_DELIVERY,10.000,true,
1782062229766,169,load035,GROUP_DELIVERY,33.000,true,
1782062229766,169,load038,GROUP_DELIVERY,15.000,true,
1782062229767,170,load047,GROUP_DELIVERY,16.000,true,
1782062229767,170,load036,GROUP_DELIVERY,12.000,true,
1782062229768,171,load048,GROUP_DELIVERY,13.000,true,
1782062229769,172,load038,GROUP_DELIVERY,36.000,true,
1782062229769,172,load059,GROUP_DELIVERY,74.000,true,
1782062229770,173,load041,GROUP_DELIVERY,4.000,true,
1782062229770,173,load059,GROUP_DELIVERY,19.000,true,
1782062229771,174,load059,GROUP_DELIVERY,38.000,true,
1782062229771,174,load053,GROUP_DELIVERY,6.000,true,
1782062229772,175,load044,GROUP_DELIVERY,7.000,true,
1782062229774,177,load056,CREATE_GROUP,0.720,true,
1782062229774,177,load039,GROUP_DELIVERY,5.000,true,
1782062229774,177,load050,GROUP_DELIVERY,4.000,true,
1782062229775,178,load050,GROUP_DELIVERY,20.000,true,
1782062229776,179,load051,GROUP_DELIVERY,7.000,true,
1782062229777,180,load042,GROUP_DELIVERY,8.000,true,
1782062229778,181,load054,GROUP_DELIVERY,9.000,true,
1782062229780,183,load033,GROUP_DELIVERY,11.000,true,
1782062229781,184,load045,GROUP_DELIVERY,12.000,true,
1782062229782,185,load036,GROUP_DELIVERY,13.000,true,
1782062229783,186,load053,CREATE_GROUP,-1.000,false,Usuario 'load054' no conectado.
1782062229783,186,load048,GROUP_DELIVERY,14.000,true,
1782062229786,189,load050,GROUP_DELIVERY,3.000,true,
1782062229787,190,load041,CREATE_GROUP,-1.000,false,Usuario 'load042' no conectado.
1782062229788,191,load039,GROUP_DELIVERY,2.000,true,
1782062229789,192,load051,GROUP_DELIVERY,3.000,true,
1782062229790,193,load042,GROUP_DELIVERY,4.000,true,
1782062229792,195,load041,GROUP_DELIVERY,22.000,true,
1782062229792,195,load054,GROUP_DELIVERY,6.000,true,
1782062229794,197,load053,GROUP_DELIVERY,24.000,true,
1782062229795,198,load041,GROUP_DELIVERY,40.000,true,
1782062229795,198,load033,GROUP_DELIVERY,9.000,true,
1782062229796,199,load044,GROUP_DELIVERY,26.000,true,
1782062229796,199,load041,GROUP_DELIVERY,13.000,true,
1782062229796,199,load056,GROUP_DELIVERY,31.000,true,
1782062229796,199,load045,GROUP_DELIVERY,10.000,true,
1782062229798,201,load053,GROUP_DELIVERY,43.000,true,
1782062229798,201,load035,GROUP_DELIVERY,33.000,true,
1782062229799,202,load056,GROUP_DELIVERY,29.000,true,
1782062229799,202,load044,GROUP_DELIVERY,44.000,true,
1782062229799,202,load036,GROUP_DELIVERY,13.000,true,
1782062229800,203,load053,GROUP_DELIVERY,17.000,true,
1782062229800,203,load048,GROUP_DELIVERY,14.000,true,
1782062229800,203,load047,GROUP_DELIVERY,35.000,true,
1782062229800,203,load038,CREATE_GROUP,-1.000,false,Usuario 'load039' no conectado.
1782062229802,205,load044,GROUP_DELIVERY,19.000,true,
1782062229803,206,load059,GROUP_DELIVERY,38.000,true,
1782062229804,207,load051,GROUP_DELIVERY,3.000,true,
1782062229804,207,load050,GROUP_DELIVERY,4.000,true,
1782062229805,208,load056,GROUP_DELIVERY,50.000,true,
1782062229805,208,load035,GROUP_DELIVERY,35.000,true,
1782062229805,208,load042,GROUP_DELIVERY,4.000,true,
1782062229806,209,load038,GROUP_DELIVERY,41.000,true,
